entry_time,exit_time,direction,model,tag,entry,exit,stop,target,reason,risk_ticks,total_r,moved_be,partial_taken
2026-07-29 12:34:00,2026-07-29 12:34:00,long,vwap_scalp,vwap_scalp_long,27548.25,27536.4375,27536.5,27601.25,stop,47.0,-1.0053191489361701,False,False
2026-07-30 10:38:00,2026-07-30 10:38:00,long,kalman_mom,kalman_mom_long,28237.0,28226.4375,28226.5,28267.5,stop,42.0,-1.005952380952381,False,False
2026-07-30 13:44:00,2026-07-30 13:46:00,long,pm_mom,pm_mom_long,28185.5,28201.1875,28172.0,28214.75,trail,54.0,1.162037037037037,False,True
2026-07-31 10:40:00,2026-07-31 10:41:00,long,or_rev,or_rev_long,28269.5,28269.4375,28257.0,28570.75,trail,50.0,-0.005,True,True
2026-07-31 13:36:00,2026-07-31 13:37:00,long,pm_mom,pm_mom_long,28486.0,28499.4375,28473.5,28509.25,trail,50.0,1.075,True,True
2026-08-03 12:15:00,2026-08-03 12:17:00,long,kalman_mom,kalman_mom_long,28814.75,28836.4375,28803.5,28845.5,trail,45.0,1.9277777777777778,True,True
2026-08-03 13:56:00,2026-08-03 13:57:00,long,pm_mom,pm_mom_long,28910.0,28919.1875,28897.5,28935.75,trail,50.0,0.735,False,True
2026-08-04 10:11:00,2026-08-04 10:12:00,long,trend,trend_cont_long,29520.5,29538.6875,29502.25,29558.5,trail,73.0,0.9965753424657534,True,True
2026-08-04 10:32:00,2026-08-04 10:33:00,long,kalman_mom,kalman_mom_long,29537.75,29567.1875,29526.25,29568.25,trail,46.0,2.5597826086956523,True,True
2026-08-05 10:49:00,2026-08-05 10:50:00,long,or_rev,or_rev_long,29878.0,29905.4375,29866.0,29984.5,trail,48.0,2.2864583333333335,True,True
2026-08-06 10:20:00,2026-08-06 10:21:00,long,kalman_mom,kalman_mom_long,29641.25,29641.1875,29630.0,29669.5,trail,45.0,-0.005555555555555556,True,True
2026-08-06 13:53:00,2026-08-06 14:01:00,long,pm_mom,pm_mom_long,29526.5,29526.4375,29508.25,29563.75,trail,73.0,-0.003424657534246575,True,True
2026-08-07 13:40:00,2026-08-07 13:41:00,long,pm_mom,pm_mom_long,29762.5,29744.9375,29745.0,29794.5,stop,70.0,-1.0035714285714286,False,False
2026-08-10 11:53:00,2026-08-10 11:57:00,long,kalman_mom,kalman_mom_long,29832.25,29854.4375,29820.0,29860.0,trail,49.0,1.8112244897959184,True,True
2026-08-10 12:45:00,2026-08-10 12:47:00,long,ema_rev,ema_rev_long,29743.0,29763.1875,29728.5,29777.5,trail,58.0,1.3922413793103448,True,True
2026-08-11 11:28:00,2026-08-11 11:34:00,short,trend,trend_cont_short,29707.5,29666.3125,29723.25,29676.0,trail,63.0,2.615079365079365,True,True
2026-08-12 11:05:00,2026-08-12 11:10:00,long,ou_rev,ou_rev_long,29851.25,29851.1875,29835.5,29903.75,trail,63.0,-0.003968253968253968,True,True
2026-08-12 11:27:00,2026-08-12 11:30:00,long,ou_rev,ou_rev_long,29855.25,29878.9375,29842.5,29900.25,trail,51.0,1.857843137254902,True,True
2026-08-12 11:35:00,2026-08-12 11:36:00,long,ou_lunch,ou_lunch_long,29831.75,29858.1875,29818.0,29898.25,trail,55.0,1.9227272727272726,True,True
2026-08-13 10:09:00,2026-08-13 10:10:00,long,trend,trend_cont_long,30174.0,30198.1875,30159.75,30202.5,trail,57.0,1.6973684210526316,True,True
2026-08-13 10:19:00,2026-08-13 10:19:00,long,kalman_mom,kalman_mom_long,30209.5,30197.4375,30197.5,30236.75,stop,48.0,-1.0052083333333333,False,False
2026-08-13 10:24:00,2026-08-13 10:25:00,long,trend,trend_cont_long,30210.25,30198.1875,30198.25,30234.25,trail,48.0,-1.0052083333333333,False,True
2026-08-13 14:34:00,2026-08-13 14:41:00,long,pm_mom,pm_mom_long,30218.0,30235.1875,30206.5,30241.75,trail,46.0,1.4945652173913044,False,True
2026-08-14 10:42:00,2026-08-14 10:43:00,long,or_rev,or_rev_long,30155.25,30167.4375,30141.0,30219.5,trail,57.0,0.8552631578947368,True,True
2026-08-14 10:51:00,2026-08-14 10:52:00,long,vwap_scalp,vwap_scalp_long,30156.25,30165.4375,30144.75,30183.0,trail,46.0,0.7989130434782609,True,True
2026-08-14 11:01:00,2026-08-14 11:02:00,long,ou_rev,ou_rev_long,30138.75,30119.1875,30119.25,30206.25,stop,78.0,-1.0032051282051282,False,False
2026-08-14 11:07:00,2026-08-14 11:08:00,long,ou_rev,ou_rev_long,30123.0,30122.9375,30111.75,30202.75,trail,45.0,-0.005555555555555556,True,True
2026-08-14 11:11:00,2026-08-14 11:12:00,long,ou_rev,ou_rev_long,30110.75,30100.4375,30100.5,30200.5,trail,41.0,-1.0060975609756098,False,True
2026-08-14 11:16:00,2026-08-14 11:17:00,long,ou_rev,ou_rev_long,30098.0,30106.1875,30087.0,30197.25,trail,44.0,0.7443181818181818,False,True
2026-08-14 11:33:00,2026-08-14 11:34:00,long,ou_lunch,ou_lunch_long,30056.0,30042.6875,30042.75,30181.75,stop,53.0,-1.0047169811320755,False,False
2026-08-14 11:36:00,2026-08-14 11:37:00,long,ou_lunch,ou_lunch_long,30055.0,30054.9375,30041.0,30180.0,trail,56.0,-0.004464285714285714,True,True
2026-08-14 11:42:00,2026-08-14 11:44:00,long,vwap_rev,vwap_rev_long,30038.5,30049.6875,30028.5,30175.75,trail,40.0,1.11875,False,True
